                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4524,                 3.1672,                 1.7261,                0.00309,                   0.95,                0.09581,                0.02762,                 1.4815,                 4.0438,                 2.1109,                  6e-05,                  6e-05,                  6e-05
                      1,                 1.2007,                 3.0136,                 1.5789,                0.00309,                   0.95,                0.10956,                0.02981,                 1.3927,                   3.99,                 2.0426,             0.00013931,             0.00013931,             0.00013931
                      2,                 1.2696,                 2.8096,                 1.5917,                0.00317,                  0.975,                0.63082,                 0.3527,                 1.0405,                 3.6153,                 1.6418,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.2777,                 2.4502,                 1.6393,                0.00325,                      1,                0.82564,                0.41684,                 1.1304,                 3.5378,                 1.5776,             0.00029554,             0.00029554,             0.00029554
                      4,                 1.2136,                 2.0492,                 1.4583,                0.00325,                      1,                0.63188,                0.32993,                 1.2382,                  3.511,                 1.8458,             0.00037248,             0.00037248,             0.00037248
                      5,                 1.0897,                 1.7356,                 1.3859,                0.00325,                      1,                0.65396,                0.31535,                  1.194,                 3.5742,                 1.9459,             0.00044862,             0.00044862,             0.00044862
                      6,                 1.2002,                 1.7869,                 1.4168,                0.81678,                0.33471,                0.60765,                0.27035,                  1.324,                 3.5241,                 2.2327,             0.00052396,             0.00052396,             0.00052396
                      7,                 1.1469,                 1.6959,                 1.3742,                0.87417,                0.17384,                0.66531,                0.30306,                 1.3371,                 3.5459,                 2.1451,             0.00059852,             0.00059852,             0.00059852
                      8,                  1.104,                 1.7406,                 1.3534,                0.49743,                0.51972,                0.42752,                0.16126,                 1.8397,                 3.8001,                 3.7043,             0.00067228,             0.00067228,             0.00067228
                      9,                 1.2144,                 1.7182,                 1.4747,                 0.7653,                  0.425,                 0.6136,                0.29225,                 1.3659,                 3.4873,                 2.0632,             0.00074525,             0.00074525,             0.00074525
                     10,                 1.1657,                 1.6422,                 1.4199,                0.65069,                  0.575,                0.49464,                 0.1554,                 1.7733,                 3.7689,                 4.3589,             0.00081743,             0.00081743,             0.00081743
                     11,                 1.3403,                 1.8355,                 1.6211,                0.56982,                   0.45,                  0.519,                0.24728,                 1.5272,                 3.3393,                 2.6186,             0.00088882,             0.00088882,             0.00088882
                     12,                 1.4516,                  2.107,                 1.8225,                0.49776,                   0.45,                0.46635,                0.20733,                  1.666,                 2.9967,                 2.8312,             0.00095941,             0.00095941,             0.00095941
                     13,                 1.2907,                 1.7142,                  1.543,                0.26317,                  0.525,                0.28586,                0.14697,                  1.619,                 3.7026,                  2.674,              0.0010292,              0.0010292,              0.0010292
                     14,                 1.1845,                 1.6366,                 1.4252,                0.33872,                   0.45,                0.29179,                0.11367,                 1.8223,                 3.7441,                 3.2199,              0.0010982,              0.0010982,              0.0010982
                     15,                  1.254,                 1.3805,                 1.4388,                0.14507,                  0.225,                0.09441,                0.02458,                 2.3981,                 6.5585,                 7.4939,              0.0011664,              0.0011664,              0.0011664
                     16,                 1.2068,                 1.4007,                 1.4526,                0.20725,                   0.25,                0.15943,                0.04795,                 2.4249,                 7.6185,                 8.3961,              0.0012339,              0.0012339,              0.0012339
                     17,                  1.363,                  1.576,                 1.6459,                0.36538,                    0.3,                0.20676,                0.08072,                 2.4564,                 4.1669,                 3.9429,              0.0013005,              0.0013005,              0.0013005
                     18,                   1.36,                 1.4133,                 1.5136,                0.17855,                  0.125,                0.08203,                0.04013,                 3.0229,                 4.4953,                 3.5963,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2853,                 1.5393,                 1.5046,                0.27064,                  0.675,                0.45273,                0.17857,                 1.6553,                 10.018,                 3.0543,              0.0014314,              0.0014314,              0.0014314
                     20,                 1.3274,                 1.4693,                 1.4321,                0.04341,                   0.35,                0.05652,                0.01659,                 2.1841,                 30.029,                  3.675,              0.0014957,              0.0014957,              0.0014957
                     21,                 1.2204,                 1.2848,                   1.44,                0.03836,                   0.35,                0.03166,                0.00796,                 2.5809,                 11.331,                 5.1243,              0.0015591,              0.0015591,              0.0015591
                     22,                 1.4212,                 1.3361,                 1.4843,                0.02347,                   0.35,                 0.0197,                0.00617,                 2.4522,                 9.8713,                 7.3668,              0.0016218,              0.0016218,              0.0016218
                     23,                 1.3249,                 1.4684,                 1.5057,                0.00802,                  0.225,                0.00804,                0.00262,                  2.752,                 19.343,                 7.2386,              0.0016837,              0.0016837,              0.0016837
                     24,                 1.2927,                 1.3371,                 1.4464,                0.17698,                  0.075,                0.06793,                0.01295,                 3.2446,                 5.9415,                 9.2994,              0.0017448,              0.0017448,              0.0017448
                     25,                  1.394,                 1.2686,                 1.5271,                0.07389,                  0.075,                0.04336,                0.01949,                 3.0663,                 6.2961,                 4.4071,              0.0017525,              0.0017525,              0.0017525
                     26,                   1.25,                  1.359,                 1.4671,                0.01482,                  0.175,                0.00896,                0.00245,                 3.0003,                 4.9285,                 4.9714,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.3752,                  1.269,                 1.4827,                0.14628,                    0.2,                0.06922,                0.03043,                 3.0326,                 7.1083,                 8.3071,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.3172,                 1.1958,                 1.5139,                0.28317,                0.28655,                0.17119,                0.06084,                 2.8288,                 5.6691,                 5.0024,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.3546,                  1.219,                  1.552,                0.69553,                  0.175,                0.21189,                 0.0824,                 2.1401,                 8.0572,                 3.4185,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.4417,                 1.2025,                 1.5766,                0.04188,                  0.125,                0.02233,                0.00895,                 2.7317,                 5.3008,                 3.6622,              0.0017129,              0.0017129,              0.0017129
                     31,                  1.364,                 1.2141,                 1.4945,                 0.0121,                  0.025,                0.00219,                0.00079,                 3.1328,                 6.1835,                 4.3967,               0.001703,               0.001703,               0.001703
                     32,                 1.4041,                 1.2068,                 1.5463,                0.04118,                  0.075,                 0.0083,                 0.0031,                 3.0294,                 5.7852,                 3.8943,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.4546,                 1.1515,                 1.5445,                0.18676,                   0.15,                 0.0793,                0.03508,                 2.2159,                 3.0661,                 2.7902,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.3114,                 1.0858,                 1.5426,                0.22528,                    0.4,                0.14596,                0.05925,                 1.9763,                 3.7931,                 2.7008,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.2415,                 1.1262,                 1.4607,                0.41144,                0.27976,                0.32133,                0.14922,                 2.1724,                  3.796,                 3.4345,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.4096,                 1.1182,                 1.6272,                0.46199,                   0.15,                0.17337,                0.08914,                 2.2256,                 3.6031,                 2.7352,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4922,                 1.1515,                  1.897,                0.19065,                    0.3,                0.17083,                0.07805,                   2.21,                 4.3679,                 3.3449,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3902,                 1.3993,                  1.446,                0.28569,                    0.3,                0.25724,                0.10969,                 1.9889,                 2.5696,                   2.85,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.3143,                 1.2069,                 1.5262,                0.24079,                   0.35,                0.24143,                 0.1049,                 1.8976,                 2.3389,                 2.5386,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4609,                 1.1235,                 1.4998,                0.48327,                   0.35,                0.38674,                0.17779,                 1.9961,                 2.2547,                 2.6031,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.3409,                 1.0751,                 1.5464,                0.56807,                   0.25,                0.28153,                0.13357,                 1.9023,                 2.5473,                 2.3212,               0.001604,               0.001604,               0.001604
                     42,                 1.1817,                  1.036,                 1.3074,                0.44164,                  0.275,                0.25002,                0.09062,                  2.137,                 2.6652,                  2.397,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1158,                0.93445,                  1.359,                0.85152,                  0.575,                0.74398,                0.34085,                  1.886,                   2.58,                 2.3328,              0.0015842,              0.0015842,              0.0015842
