                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3454,                 1.1366,                 1.5756,                0.62703,                0.42045,                0.50189,                0.17707,                 2.3798,                 3.6347,                 6.9431,              0.0099673,              0.0099673,              0.0099673
                     35,                 1.2394,                 1.2564,                 1.4547,                0.33228,                    0.5,                0.32736,                0.09189,                 2.3857,                 3.5814,                 7.1007,              0.0099663,              0.0099663,              0.0099663
                     36,                 1.4135,                 1.1931,                 1.5952,                 0.0983,                  0.225,                0.04123,                0.00987,                 3.1814,                 3.4652,                 4.6228,              0.0099654,              0.0099654,              0.0099654
                     37,                 1.2922,                 1.2213,                 1.5948,                0.43027,                    0.2,                0.12586,                0.04639,                  3.138,                 3.7443,                 7.8061,              0.0099644,              0.0099644,              0.0099644
                     38,                 1.3913,                 1.2811,                 1.5233,                0.18297,                   0.05,                0.04858,                0.01281,                 2.8226,                 3.5409,                 4.6905,              0.0099634,              0.0099634,              0.0099634
                     39,                 1.4809,                  1.259,                 1.5621,                0.03779,                  0.025,                0.00491,                0.00085,                 3.5699,                 4.5195,                 4.0537,              0.0099624,              0.0099624,              0.0099624
                     40,                 1.3708,                 1.0991,                 1.4629,                0.13621,                  0.125,                0.04529,                0.01178,                 3.2087,                 5.6438,                 3.5398,              0.0099614,              0.0099614,              0.0099614
                     41,                 1.4123,                 1.3016,                 1.6028,                0.08273,                    0.1,                0.01516,                0.00402,                 3.8182,                  5.689,                 4.5584,              0.0099604,              0.0099604,              0.0099604
                     42,                 1.2705,                  1.166,                 1.4222,                 0.1219,                   0.15,                0.05272,                0.01541,                  3.789,                 2.9832,                 4.0303,              0.0099594,              0.0099594,              0.0099594
                     43,                 1.1782,                 1.0305,                 1.4324,                0.13625,                  0.025,                0.00802,                 0.0017,                 4.0789,                 6.6333,                 3.4754,              0.0099584,              0.0099584,              0.0099584
                     44,                 1.2921,                 1.1096,                 1.5626,                0.24964,                    0.3,                0.17007,                0.06138,                  2.993,                 3.0168,                 2.9246,              0.0099574,              0.0099574,              0.0099574
                     45,                 1.2877,                 1.1172,                 1.5225,                0.17396,                  0.275,                0.12501,                0.03653,                 3.2065,                 2.6984,                 3.3634,              0.0099564,              0.0099564,              0.0099564
                     46,                 1.2271,                 1.0229,                  1.566,                 0.3996,                  0.275,                0.16846,                0.05731,                 3.1728,                 2.3933,                 3.8581,              0.0099555,              0.0099555,              0.0099555
                     47,                 1.3015,                  1.032,                 1.5407,                0.38615,                  0.175,                0.15777,                0.05541,                 3.1268,                 3.7405,                 3.3845,              0.0099545,              0.0099545,              0.0099545
                     48,                 1.3427,                  1.161,                 1.5421,                0.24569,                    0.1,                0.06103,                0.02203,                 2.9334,                 6.0693,                 3.4606,              0.0099535,              0.0099535,              0.0099535
                     49,                 1.4948,                 1.1889,                 1.6104,                 0.1629,                   0.25,                 0.1052,                0.03752,                 2.5332,                 3.8691,                 2.9556,              0.0099525,              0.0099525,              0.0099525
